"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"368","Il Classico Italiano Restaurant","Budapest, Nyugati tér 6, 1055 Hungary","business.site","G363+5W Budapest, Hungary","3.7","696","https://www.google.com/maps/place/Il+Classico+Italiano+Restaurant/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc0da56a699b:0x82471350d1ab063b!8m2!3d47.5104667!4d19.0547994?hl=en",
"367","Langos Burger","Budapest, Kazinczy u. 18, 1075 Hungary","","F3W7+V7 Budapest, Hungary","3.6","122","https://www.google.com/maps/place/Langos+Burger/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dd8b4517b4ff:0xdbf32d2866bd9c86!8m2!3d47.4971334!4d19.0631428?hl=en",
"366","St. Andrea Wine & Skybar","Budapest Deák Ferenc utca 5 Váci 1. Office Building Rooftop, 1052 Hungary","standreaskybar.hu","F3W2+86 Budapest, Hungary","4.2","687","https://www.google.com/maps/place/St.+Andrea+Wine+%26+Skybar/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc4092f13bf3:0xeeafb671e17a4f14!8m2!3d47.49586!4d19.0505981?hl=en",
"365","GRAND RE PIZZA HUNGARY","Budapest, Király u. 51, 1077 Hungary","wolt.com","G327+Q5 Budapest, Hungary","3.7","79","https://www.google.com/maps/place/GRAND+RE+PIZZA+HUNGARY/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc6934511c6f:0x960e8f8c2c3b79a!8m2!3d47.5019828!4d19.0629515?hl=en",
"364","Lunch Restaurant Fakanal","Budapest, Vámház krt. 1-3, 1093 Hungary","fakanaletterem.hu","F3P5+W9 Budapest, Hungary","3.5","247","https://www.google.com/maps/place/Lunch+Restaurant+Fakanal/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc4fe2b1c2f7:0xa0761807e8116afa!8m2!3d47.4873208!4d19.0584861?hl=en",
"363","Lángos GOZSDU","Budapest, Király u. 13, 1075 Hungary","","F3X5+J8 Budapest, Hungary","3.8","116","https://www.google.com/maps/place/L%C3%A1ngos+GOZSDU/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc6a18ad1345:0xb2c3fc724cf75c75!8m2!3d47.4991092!4d19.0583575?hl=en",
"362","Na'conxpan Betéti Társaság","Budapest, Kék Golyó u. 30, 1123 Hungary","","F2XC+CH Budapest, Hungary","","","https://www.google.com/maps/place/Na'conxpan+Bet%C3%A9ti+T%C3%A1rsas%C3%A1g/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc1c9514c6b1:0x8f5bd73af5dd084d!8m2!3d47.498515!4d19.021417?hl=en",
"361","Belvárosi Lugas Restaurant","Budapest, Bajcsy-Zsilinszky út 15, 1065 Hungary","facebook.com","G324+84 Budapest, Hungary","4.3","6","https://www.google.com/maps/place/Belv%C3%A1rosi+Lugas+Restaurant/@47.4781393,19.0278834,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dd6fa47638f5:0x4d0175bc0e8735f7!8m2!3d47.5008503!4d19.0552632?hl=en",
"360","Lángos Papa","Budapest, Andrássy út 38, 1061 Hungary","","G336+JF Budapest, Hungary","3.6","876","https://www.google.com/maps/place/L%C3%A1ngos+Papa/@47.4781393,19.0278834,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc6c3ca733d5:0xfbde62672671dba6!8m2!3d47.5040474!4d19.0612258?hl=en",
"359","Pizza Hut KŐBÁNYA","Budapest, Sibrik Miklós út 30, 1108 Hungary","pizzahut.hu","F594+QH Budapest, Hungary","3.9","50","https://www.google.com/maps/place/Pizza+Hut+K%C5%90B%C3%81NYA/@47.4781393,19.0278834,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741c3d84cf4f0bb:0x2227ce1f3ec3c25b!8m2!3d47.4694024!4d19.1564442?hl=en",
